Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05011228,Northumberland Heath,2,Good health,3833
E05011228,Northumberland Heath,3,Fair health,1318
E05011228,Northumberland Heath,4,Bad health,384
E05011228,Northumberland Heath,5,Very bad health,121
E05011229,St Mary's & St James (Bexley),-8,Does not apply,0
E05011229,St Mary's & St James (Bexley),1,Very good health,5667
E05011229,St Mary's & St James (Bexley),2,Good health,3433
E05011229,St Mary's & St James (Bexley),3,Fair health,1190
E05011229,St Mary's & St James (Bexley),4,Bad health,337
E05011229,St Mary's & St James (Bexley),5,Very bad health,116
E05011230,Sidcup,-8,Does not apply,0
E05011230,Sidcup,1,Very good health,7512
E05011230,Sidcup,2,Good health,5220
E05011230,Sidcup,3,Fair health,1858
E05011230,Sidcup,4,Bad health,654
E05011230,Sidcup,5,Very bad health,177
E05011231,Slade Green & Northend,-8,Does not apply,0
E05011231,Slade Green & Northend,1,Very good health,6616
E05011231,Slade Green & Northend,2,Good health,4058
E05011231,Slade Green & Northend,3,Fair health,1435
E05011231,Slade Green & Northend,4,Bad health,483
E05011231,Slade Green & Northend,5,Very bad health,156
E05011232,Thamesmead East,-8,Does not apply,0
E05011232,Thamesmead East,1,Very good health,8729
E05011232,Thamesmead East,2,Good health,4701
E05011232,Thamesmead East,3,Fair health,1781
E05011232,Thamesmead East,4,Bad health,538
E05011232,Thamesmead East,5,Very bad health,177
E05011233,West Heath (Bexley),-8,Does not apply,0
E05011233,West Heath (Bexley),1,Very good health,8043
E05011233,West Heath (Bexley),2,Good health,5456
E05011233,West Heath (Bexley),3,Fair health,1841
E05011233,West Heath (Bexley),4,Bad health,453
E05011233,West Heath (Bexley),5,Very bad health,143
E05011234,Aldborough,-8,Does not apply,0
E05011234,Aldborough,1,Very good health,7811
E05011234,Aldborough,2,Good health,5372
E05011234,Aldborough,3,Fair health,1687
E05011234,Aldborough,4,Bad health,455
E05011234,Aldborough,5,Very bad health,136
E05011235,Barkingside,-8,Does not apply,0
E05011235,Barkingside,1,Very good health,7562
